dataset_index,image,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
3,2011_09_26_drive_0002_sync_image_0000000014_image_03.png,0-40m,97616,1.4235962507344135,142.35962507344135,11.181994501243404,95.15858056056385,2.4525162203275723,2.415170669555664,1216x352,1344x392
3,2011_09_26_drive_0002_sync_image_0000000014_image_03.png,0-80m,102687,1.728855043207661,172.8855043207661,11.34435893010036,94.66047308812216,2.4525162203275723,2.415170669555664,1216x352,1344x392
4,2011_09_26_drive_0002_sync_image_0000000017_image_02.png,0-10m,50244,1.0236690686335752,102.36690686335751,13.102038859142585,85.75153252129607,2.452933721020937,2.415170669555664,1216x352,1344x392
4,2011_09_26_drive_0002_sync_image_0000000017_image_02.png,0-20m,88988,1.1557269923182323,115.57269923182322,11.694768633753474,91.94498134579943,2.452933721020937,2.415170669555664,1216x352,1344x392
4,2011_09_26_drive_0002_sync_image_0000000017_image_02.png,0-40m,105268,1.4204581281934714,142.04581281934713,11.494085183957123,92.9133259870046,2.452933721020937,2.415170669555664,1216x352,1344x392
4,2011_09_26_drive_0002_sync_image_0000000017_image_02.png,0-80m,110930,1.7448487791950167,174.48487791950166,11.654076734114772,92.6791670422789,2.452933721020937,2.415170669555664,1216x352,1344x392
5,2011_09_26_drive_0002_sync_image_0000000020_image_03.png,0-10m,47149,0.8476579446231712,84.76579446231712,11.011665301047893,82.80557381916903,2.460801886602484,2.415170669555664,1216x352,1344x392
5,2011_09_26_drive_0002_sync_image_0000000020_image_03.png,0-20m,79225,1.0240947361058639,102.40947361058639,10.246143325973474,89.71915430735248,2.460801886602484,2.415170669555664,1216x352,1344x392
5,2011_09_26_drive_0002_sync_image_0000000020_image_03.png,0-40m,94429,1.2975232031888992,129.75232031888993,10.203535938549063,90.90851327452371,2.460801886602484,2.415170669555664,1216x352,1344x392
5,2011_09_26_drive_0002_sync_image_0000000020_image_03.png,0-80m,100152,1.6580583992472129,165.80583992472128,10.429139887401805,90.76304017892804,2.460801886602484,2.415170669555664,1216x352,1344x392
6,2011_09_26_drive_0002_sync_image_0000000023_image_02.png,0-10m,40132,0.9915900629217622,99.15900629217622,12.756773316712062,74.73337984650654,2.460168034360566,2.415170669555664,1216x352,1344x392
6,2011_09_26_drive_0002_sync_image_0000000023_image_02.png,0-20m,80069,1.0975993923604415,109.75993923604415,10.795340510993569,86.86757671508325,2.460168034360566,2.415170669555664,1216x352,1344x392
