dataset_index,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
29,0-3m,91366,0.39400394775246245,39.40039477524625,16.677790183030247,90.67049011667359,0.2905604015236906,3.3480396270751953,640x480,1344x1008
29,0-6m,303584,0.49982399085704077,49.982399085704074,14.172759293512243,94.58008327184568,0.2905604015236906,3.3480396270751953,640x480,1344x1008
29,0-10m,307200,0.5126622077504484,51.266220775044836,14.268196958901171,94.0419921875,0.2905604015236906,3.3480396270751953,640x480,1344x1008
30,0-3m,96778,0.6662645968315721,66.62645968315721,66.61409660235084,28.365950939263058,0.28849041247034674,3.3480396270751953,640x480,1344x1008
30,0-6m,307200,0.3410563103224073,34.10563103224073,24.638809877785324,76.49641927083334,0.28849041247034674,3.3480396270751953,640x480,1344x1008
30,0-10m,307200,0.3410563103224073,34.10563103224073,24.638809877785324,76.49641927083334,0.28849041247034674,3.3480396270751953,640x480,1344x1008
31,0-3m,233550,0.2378651889374516,23.78651889374516,11.149417425508199,83.01177478056091,0.2929775593536079,3.3480396270751953,640x480,1344x1008
31,0-6m,307200,0.36763285178691146,36.76328517869115,13.363829290809084,76.53287760416667,0.2929775593536079,3.3480396270751953,640x480,1344x1008
31,0-10m,307200,0.36763285178691146,36.76328517869115,13.363829290809084,76.53287760416667,0.2929775593536079,3.3480396270751953,640x480,1344x1008
32,0-3m,307200,0.1158111181948334,11.58111181948334,7.434638057717644,90.93815104166667,0.29052238132101366,3.3480396270751953,640x480,1344x1008
32,0-6m,307200,0.1158111181948334,11.58111181948334,7.434638057717644,90.93815104166667,0.29052238132101366,3.3480396270751953,640x480,1344x1008
32,0-10m,307200,0.1158111181948334,11.58111181948334,7.434638057717644,90.93815104166667,0.29052238132101366,3.3480396270751953,640x480,1344x1008
33,0-3m,189622,0.26445234934737044,26.445234934737044,11.2703943603656,87.68813745240531,0.29151204381812057,3.3480396270751953,640x480,1344x1008
33,0-6m,307200,0.26191731966954346,26.191731966954347,9.937866175683446,91.59830729166667,0.29151204381812057,3.3480396270751953,640x480,1344x1008
33,0-10m,307200,0.26191731966954346,26.191731966954347,9.937866175683446,91.59830729166667,0.29151204381812057,3.3480396270751953,640x480,1344x1008
34,0-3m,65530,0.36845546267186524,36.84554626718652,15.790667680748966,75.97741492446208,0.28973276324878827,3.3480396270751953,640x480,1344x1008
34,0-6m,237362,0.4057680782377948,40.57680782377948,10.990074534854234,87.03372907205028,0.28973276324878827,3.3480396270751953,640x480,1344x1008
34,0-10m,307200,0.5911201125973214,59.11201125973214,12.77926507870662,80.76204427083333,0.28973276324878827,3.3480396270751953,640x480,1344x1008
35,0-3m,30260,0.5644438883049632,56.444388830496315,23.771744338717653,85.36351619299406,0.2879872207404607,3.3480396270751953,640x480,1344x1008
35,0-6m,279859,0.6412129191258357,64.12129191258357,14.870722396551308,85.59274491797655,0.2879872207404607,3.3480396270751953,640x480,1344x1008
35,0-10m,307200,0.6890140341237808,68.90140341237809,15.24266000214902,84.72916666666667,0.2879872207404607,3.3480396270751953,640x480,1344x1008
36,0-3m,174696,0.26120035825191895,26.120035825191895,11.139706721207983,99.90154325227824,0.2871882506916586,3.3480396270751953,640x480,1344x1008
36,0-6m,307200,0.3877283015148714,38.77283015148714,12.618503503631509,98.390625,0.2871882506916586,3.3480396270751953,640x480,1344x1008
36,0-10m,307200,0.3877283015148714,38.77283015148714,12.618503503631509,98.390625,0.2871882506916586,3.3480396270751953,640x480,1344x1008
37,0-3m,264809,0.16350633769005105,16.350633769005103,8.180078083709152,94.07006559444731,0.2868282282122983,3.3480396270751953,640x480,1344x1008
37,0-6m,307200,0.24301502894998217,24.301502894998215,9.616289499895082,90.1259765625,0.2868282282122983,3.3480396270751953,640x480,1344x1008
37,0-10m,307200,0.24301502894998217,24.301502894998215,9.616289499895082,90.1259765625,0.2868282282122983,3.3480396270751953,640x480,1344x1008
38,0-3m,87538,0.2632708944843806,26.327089448438063,15.011817894965827,81.4971783682515,0.2903819853067763,3.3480396270751953,640x480,1344x1008
38,0-6m,307200,0.25492224065276486,25.492224065276485,9.335161947397054,93.32356770833333,0.2903819853067763,3.3480396270751953,640x480,1344x1008
38,0-10m,307200,0.25492224065276486,25.492224065276485,9.335161947397054,93.32356770833333,0.2903819853067763,3.3480396270751953,640x480,1344x1008
39,0-3m,271998,0.1680107407348505,16.80107407348505,6.746812637607055,96.46982698402195,0.28950319601517394,3.3480396270751953,640x480,1344x1008
39,0-6m,307200,0.1744303472569057,17.44303472569057,6.8186309899014015,96.83854166666667,0.28950319601517394,3.3480396270751953,640x480,1344x1008
39,0-10m,307200,0.1744303472569057,17.44303472569057,6.8186309899014015,96.83854166666667,0.28950319601517394,3.3480396270751953,640x480,1344x1008
40,0-3m,170519,0.34622329710733984,34.622329710733986,18.355147434581255,75.06025721473854,0.2860314946430927,3.3480396270751953,640x480,1344x1008
40,0-6m,307200,0.3081354172989571,30.81354172989571,13.879088541431377,86.09342447916667,0.2860314946430927,3.3480396270751953,640x480,1344x1008
40,0-10m,307200,0.3081354172989571,30.81354172989571,13.879088541431377,86.09342447916667,0.2860314946430927,3.3480396270751953,640x480,1344x1008
41,0-3m,307200,0.07909045460168272,7.909045460168272,3.8973673997043163,99.99446614583334,0.2847670123156742,3.3480396270751953,640x480,1344x1008
41,0-6m,307200,0.07909045460168272,7.909045460168272,3.8973673997043163,99.99446614583334,0.2847670123156742,3.3480396270751953,640x480,1344x1008
41,0-10m,307200,0.07909045460168272,7.909045460168272,3.8973673997043163,99.99446614583334,0.2847670123156742,3.3480396270751953,640x480,1344x1008
42,0-3m,249862,0.3373721190137873,33.73721190137873,14.61054350539549,97.86922381154397,0.28718891875793867,3.3480396270751953,640x480,1344x1008
